label,text
0,operating profit fell eur 20 3 mn eur 74 2 mn second quarter 2008
0,recent troubles simply make neteller cheaper
1,sale result gain eur 60 million second quarter 2010 oriola kd supports finnish company strategy focus pharmaceutical wholesale retail operations
1,latvenergo ordered significant expansion tekla xpower network information system
1,uponor made operating profit eur 151 0 mn eur 143 7 mn made 2007 record year
1,shopping center opened st petersburg russia november 2010 turn cash flow finnish department store chain stockmann russian operations 2 first time 2011
1,company make marketing sales investments initiated 2009 even efficient 2010
0,operating loss totalled eur 3 2 mn compared profit eur 7 2 mn third quarter 2008
1,contrast company net loss third quarter 2009 contracted eur 76 million eur 256 million corresponding period year ago
1,robust growth result inclusion clothing chain lindex group december 2007
1,net profit 35 5 mln compared 29 8 mln
1,finnish supplier bss oss vas telecom operators tecnotree received expansion orders worth total us 7 3 mn convergent charging next generation messaging solutions latin america company announced without specifying operators placed orders
1,okmetic products based high tech expertise generates added value customers innovative product development extremely efficient production process
0,metso foundries jyvaskyla inc begin personnel negotiations temporary lay offs personnel reductions jyvaskyla finland
1,helsinki afx metso said upgrade one upm kymmene four paper machines latter mill jaemsaenkoski new coating color supply system machine process controls quality measurements
1,manavigator september 7 2010 kemira unveils indian jv ivrcl finnish chemicals group kemira hel kra1v tuesday announced inked deal form joint venture india local construction firm ivrcl infrastructure projects ltd bom 530773
1,increase net sales due acquisition swedish silva produces garden tools boats
1,economic occupancy rate sponda property portfolio rose 91 2 88 8 2006
1,pre tax loss totaled eur 0 3 mn compared loss eur 2 2 mn first quarter 2005
1,launch plant june went well producing advanced fuel couple weeks
1,combination services enabling us offer complex strengthened service chain limited baltic port connections also getting access world wide grimaldi network mediterranean africa north america says uwe bakosch
1,share purchase completed financing also provided expand latvia broadband infrastructure develop new areas business including acquisitions companies
1,however broker gave outperform recommendation stock
0,ssh communications security corp stock exchange release october 14 2008 2 45 pm company updates full year outlook estimates results remain loss full year
1,press release 9 october 2009 ruukki signed contract deliver install steel structures bridge kyronsalmi strait savonlinna finland
1,profitability ebit 13 9 compared 13 1 previous year period
1,european traffic grew nearly 30
1,pleased fine co operation two countries recent times said
1,adp news oct 29 2008 finnish lifting equipment maker konecranes oyj omx kcr1v said today net profit rose eur 116 6 million usd 149 1 first nine months 2008 eur 73 6 million
1,last year company raised turnover approximately 7 million litas eur 2 mln 6 1 million litas 2004
1,passenger volumes rose 8 4 accounting period
0,however suspect stole burgundy nissan altima
0,according swedish authorities traces toxic osmium tetroxide found coast per meri northernmost part gulf bothnia
1,earnings per share higher 0 48 0 37 year ahead market consensus 0 40 eur
1,revenue july september grew 21 percent euro 2 3 billion finnish company said thursday
1,finnish telecoms software developer tecnomen oyj said december 5 2006 3 3 mln 2 5 mln euro order supply expansion charging messaging systems mobile fixed networks brasil telecom
0,pharmaceuticals group orion corp reported fall third quarter earnings hit larger expenditures r marketing
1,lietuvos respublikos sveikatos apsaugos ministerija awarded contract uab affecto lietuva financial systems software package
1,operating profit rose 22 1 mln eur 19 9 mln
1,fourth quarter 2009 orion net profit went 33 8 year year eur33m
1,actions improve operational efficiency adjust operations expected deliver annualised permanent cost savings around eur 4 5 million effected mostly first half 2010
1,eps continuing operations came 0 30 eur 0 17
1,company committed expanding apollo portfolio
1,finnish financial group aktia reports operating profit eur 44 4 mn january september 2009 eur 37 3 mn corresponding period 2008
1,company anticipates turnover whole 2010 surpass previous year eur 67 1 million
0,metso estimates need personnel reductions amount 25 people
1,ruukki delivery volumes selling prices showed favourable development company comparable net sales grew 50 year year eur647m ceo sakari tamminen said
1,trend sports leisure markets favorable first months year
1,seppala revenue increased 0 2 eur10 1 finland revenue went 2 4 eur6 8 sales abroad rose 6 2 eur3 3 sales increased baltic countries well russia ukraine
1,topped consensus forecasts earnings 0 21 euros share
1,finnish geosentric developer provider solutions products technologies location based services preliminary agreed eur 6mn short term funding leading investor
0,according company addition normal seasonal fluctuation market situation weakened autumn 2008
0,operating loss amounted eur 0 8 mn compared profit eur 3 9 mn year earlier
1,purchase operations part yit strategy expand offering building system services geographically
1,finnish pharmaceuticals company orion reports profit taxes eur 70 0 mn third quarter 2010 eur 54 9 mn corresponding period 2009
1,finnish silicon wafer technology company okmetic oyj omx helsinki okm1v reported thursday 7 august operating profit eur5 3 period january june 2008 eur3 3 corresponding period 2007
1,order intake hand expected stronger 2007
1,helsinki based company also owns salomon atomic suunto brands said net profit rose 15 percent three months dec 31 x20ac 47 million 61us million x20ac 40 8 million year earlier
1,release company said vocollect t2 customers north america take advantage voice directed warehousing solution increase warehouse efficiency productivity gains discounted price
1,metrics qpr scorecard support date text milestone based values improve support managing projects around performance process related content
1,finnish construction group yit awarded contract install heating air conditioning cooling systems new head office automobile association adac munich germany
1,deliveries started network ready launch soon
1,kone factory located ayanambakkam suburb west chennai fully integrated facility gives capability address costs
0,period sales dropped eur 30 6 million eur 38 3 million according interim report released today
0,biohit said reduce number leased personnel 10 lay 10 personnel
1,use back pet bottles also steadily increased rate use strapping tape picked dip 2005 petcore said previously
0,cut frequency new york last year explains fall said
1,real corporation press release 3 november 10 35 real corporation second best company materials sector including e g forest industry companies carbon disclosure leadership index cdli nordic report 2009
0,reduction notice applied 17 people
0,january august 2009 imports sea container lorry trailer units fell 27 7 exports 28 6 corresponding period 2008
1,metso said order worth around 40 mln eur supply kraftliner board machine china lee man paper co
1,addition cramo peab signed exclusive five year rental agreements finland extended existing rental agreements swedish market another five years
1,sales risen export markets
1,grapevine city officials september approved 35 million tax rebates grants expansion
1,helsinki finland sept 18 2009 globe newswire ixonos plc expands company smartphone r services establishes new next generation smartphone design unit connection ixonos site jyvaeskylae
0,company confirmed estimate lower revenue whole 2009 year ago eur93 9 given interim report 5 august 2009
0,operating profit excluding non recurring items eur 7 8 million compared eur 11 2 million
1,believes soy oats good chance entering uk market
0,11 august 2010 finnish measuring equipment maker vaisala oyj hel vaias said today net loss widened eur4 8 first half 2010 eur2 3 corresponding period year earlier
1,diluted earnings per share eps rose eur 0 29 eur 0 05
1,qpr 8 integrated management system fastest easiest efficient way organizations around world take control human centric business processes
1,teliasonera tlsn said offer line strategy increase ownership core business holdings would strengthen eesti telekom offering customers
1,subscriptions increase cargotec share capital 36 780 euros
1,excited working maxis first commercial deployment master maya said joe doering head asia south region nokia siemens networks
1,succeeded increasing market share sold apartment comments mr kari kauniskangas head yit international construction services
0,small firms suffering moment likely money trouble added
1,ragutis based lithuania second largest city kaunas boosted sales last year 22 3 per cent 36 4 million liters
1,provides customers industry leading elevators escalators innovative solutions maintenance modernization
1,elcoteq elcoteq se leading electronics manufacturing services ems company communications technology field
1,intel atom processor tremendous success marketplace since launch 2 years ago said pankaj kedia director global ecosystem programs intel corp ultra mobility group
1,lining stone sales also good early autumn order books strong end year
1,diluted earnings per share eps rose eur 3 68 eur 0 50
1,talvivaara also maintains assumption turning cash flow 2 year end
1,southfield mich central corporate credit union distribute patronage dividends members waiving service fees incurred months july november 2008 tune estimated 1 million
1,adp news nov 28 2008 finnish power supply solutions provider efore oyj omx efo1v announced today launch opus dc latest power system opus product line
0,nokia certainly disagree qualcomm views patent situation
1,capman partner able develop business continue focus providing quality restaurant services customers says christopher wynne ceo papa john russia
0,operating profit continuing operations fell eur 48 3 mn eur 72 4 mn first half 2007
0,workforce reduced also amsterdam office netherlands
1,ramirent danish subsidiary ramirent today signed agreement acquire business assets machinery rental company jydsk materiel udlejning located west jutland
1,q1 10 19 april 2010 finnish forest machinery equipment maker ponsse oyj hel pon1v said today expects swing net profit eur6 3 first quarter 2010 eur9 6 loss year earlier
1,finnish energy company fortum oyj said november 13 2007 granted environmental permit build biofuel fired combined heat power chp plant vartan harbor eastern stockholm
1,finnish government announced wednesday sold 32 percent stake chemicals fertilizer group kemira oyj x20ac 655 6 million 890us million sending company share price 6 percent
1,finnish metal industry solutions supplier outotec oyj net profit rose 50 4 mln euro 72 5 mln first nine months 2007 20 1 mln euro 28 9 mln period 2006
0,scanfil systems supplier contract manufacturer communications sector start personnel negotiations oulu finland lay staff temporarily
1,main strength cooperation project lies merging know two large companies
0,publishing sweden operating loss eur 1 1 mn q1 2009 compared profit eur 0 6 mn year ago
1,section regional news demand finnair asian traffic measured passenger kilometers 34 9 august compare last year
1,vaisala also said expects net sales eur 253 2 million 2010 compared eur 252 2 million recorded 2009
1,time sales development russia boosted opening stockmann nevsky centre st petersburg
0,sampo bank market share lending 13 6 14 4 first quarter 2008
0,operating profit totalled eur 1 22 mn eur 3 56 mn first quarter 2008
1,appointment kaupthing bank aims co ordinate capital markets activities within group improve overall service clients
1,speaking drinks today spokesperson olvi said performed well four countries operate namely finland estonia latvia lithuania
1,israeli cable network operator hot telecom chosen teleste international technology group exclusive provider fttx equipment israel according teleste today
0,operating profit totalled eur 30 2 mn eur 43 8 mn year earlier
0,awkward thing use holding phone one hand
1,viking line head jan kaarstroem told tt company ferries well equipped handle ice passengers safe
1,martela said plans expand recycled furniture business elsewhere finland
0,23 april 2010 finnish construction engineering company outotec oyj hel ote1v said today slipped net loss eur7 3 first quarter 2010 net profit eur12 5 corresponding period last year
1,continued actively focus r position offering away point solutions towards dynamic end end solutions ervio stated
1,government professional approach assessing offer
1,vaisala oyj press release september 30 2010 vaisala signed contract sell oxygen measurement technology business sick maihak gmbh
1,location makes mall convenient place shop consumers three large residential areas nearby jaroszowka wysockiego zgody
1,circuit overall production rate weekly basis excess average 40 000 tonnes per day volumes excess 50 000 tonnes per day reached individual days
0,operating loss totalled eur 0 3 mn profit eur 5 1 mn first half 2009
1,agreement biohit becomes focus supplier pipettors disposable pipettor tips vwr customers throughout europe
1,upm kymmene one world leading printing paper producers production 15 countries sales network covering 170 companies
1,acquisition part ramirent strategy strengthen position selected locations
0,profit period totalled eur 1 1 mn eur 1 6 mn third quarter 2008
1,etteplan targets employ least 20 people borl nge
1,ruukki signed contract deliver install steel structures bridge kyronsalmi strait savonlinna finland
0,steelmaker said drop profit explained continuing economic uncertainty mixed current drought bank lending resulting decline demand products customers find increasingly difficult fund operations
1,strongest growth seen new markets russia czech republic slovakia
1,technopolis st petersburg government signed cooperation memorandum october 2005 set techno park neudorf production zone village strelny st petersburg suburbs
1,company still expects turnover 2010 slightly increase level 2009 adding market predictability still poor trustworthy forecasts market development contract manufacturing business current year
1,operating profit rose eur 4 7 mn eur 4 6 mn
1,tekla structures bim building information modeling software developed according long term plan improved user experience process functionality
1,navteq commanding lead installed map data systems north american vehicles may leader turn turn navigation data offered services onstar north america said analyst phil magney telematics research group minnetonka minn
1,comparable operating profit totaled eur 854mn eur 730mn 2004
1,profit taxes period eur0 9 eur0 01 last year
1,total area gorelovo plant 22 000 sq atria invested euro 70mn plant double atria russia production capacity st petersburg area
1,com constantly planning new ways serve customers online comprehensive basis says matti leminen president anttila oy
0,net cash operating activities 0 eur 0 3 mn compared eur 30 9 mn 2009
0,company annual loss amounted eek 18mn compared profit eek 7 3 mn 2008
0,according finnish petrol station chain st1 managing director kim wiio company forced make purchases rising prices first half 2008 consumer prices going almost daily due competition
1,loss third quarter 2007 eur 0 3 mn smaller loss second quarter 2007
0,finnish electronics contract manufacturer scanfil reports net sales eur 58 9 mn second quarter 2007 eur 62 4 mn year earlier
0,commission income fell eur 4 6 mn eur 5 1 mn corresponding period 2007
0,first half 2008 bank operating profit fell eur 11 8 mn eur 18 9 mn net interest income increased eur 20 9 mn eur 18 8 mn first half 2007
0,addition production varpaisj rvi factory stopped beginning april 2009
1,finnish investment group panostaja oyj said net profit went 8 6 mln euro 11 4 mln fiscal 2005 06 ended october 31 2006 2 8 mln euro 3 7 mln period fiscal 2004 05
0,finnair total traffic decreased 8 7 terms revenue passenger kilometres
0,employing 112 finland 280 abroad unit recorded first quarter 2007 sales 8 6 mln eur operating loss 1 6 mln eur
1,finnish department store chain stockmann oyj abp net profit rose 39 8 mln euro 56 8 mln first nine months 2007 37 4 mln euro 53 4 mln period 2006
0,agricultural newspaper maaseudun tulevaisuus 318 000 readers representing decrease 6
0,finland city forssa said pay compensation food industry companies hk ruokatalo atria lye leak tap water occurred march 2008
0,finnish media company talentum oyj net profit decreased 2 5 mln euro 4 0 mln first quarter 2008 3 0 mln euro 4 7 mln period 2007
1,service intended allow people thirteen mediterranean countries reach baltic rapidly single carrier
1,sale lead pretax capital gain eur 22 million finnish company 2011
1,new production plant company would increase capacity meet expected increase demand would improve use raw materials therefore increase production profitability
1,rautaruukki corporation stock exchange release 3 december 2009 12 noon ruukki construction engineering divisions improve adjust operations finland
1,russia top container shipping group fesco finnish logistics company nurminen logistics started pilot project offering clients direct intermodal transportation service finland asia pacific countries fesco said statement
1,following last year good profit development entered current year good position
0,finnish daily kauppalehti surmises finnish supplier rautaruukki raised prices aker comfort zone
1,microsoft also churned courtship agreeing use navteq mapping service offered company nokia bought 8 1 billion years ago
1,consumption forecast grow 2
0,omx nordic 40 omxn40 index comprising 40 traded nordic stocks nasdaq omx exchange closed 0 87 1 064 14 points thursday
1,luxembourg registered investment fund amber trust ii final approval lithuania competition council acquire 29 6 percent sanitas country largest pharmaceutical producer
1,finnish construction group lemmink inen awarded two road building contracts lithuanian transport administration
1,new partnership agreement represents significant milestone parties
0,gsk announced november 2008 would close operations dartford
1,within framework partnership nokia siemens networks signed initial framework purchase agreement sitronics subsidiary jsc mikron largest manufacturer exporter microelectronic components russia
1,nokia calling innovators africa competition specifically launched enable developers create locally relevant best breed mobile applications
1,demand sports equipment good 2005
0,frost sold shares 19 million 6 06 7 12 per share compared friday high 11 33 low 10 14
1,21 december 2010 finnish industrial machinery company wartsila oyj abp hel wrt1v said yesterday order design liquefied natural gas lng powered platform supply vessel psv norwegian oil service provider eidesvik offshore asa osl eiof
1,also lemmink inen profit accounting period went eur 3 1 mn eur 24 5 mn year ago
1,additional flight linking mumbai helsinki dictated strong traffic demand asia europe
1,financial impact estimated annual improvement eur2 0 division results fiscal year 2008
1,open next year largest facility world produce diesel fuel renewable feedstock palm oil animal fat
1,operating profit eur 9 8 mn compared loss eur 12 7 mn corresponding period 2009
1,besides increased share meat various sausages offering number new tastes grill products shish kebabs segment paavel said
0,first ship delayed estimated completed spring 2010
1,increase capital stock registered finnish trade register 20 november 2006
1,company plans expand international market subsidiaries distributors 2011 onwards
1,dubai nokia announced launch comes music ground breaking service introduces new way people enjoy music
1,7 march 2011 finnish company digia oyj hel dig1v announced today agreement mobile phone major nokia oyj hel nok1v acquire commercial licensing service business related nokia qt technology
1,wednesday announced government would propose granting licence two reactors one built fennovoima tvo
0,far norwegian norske skog reduced staff levels 1 000 people plans reduce production 200 000 tons 2008 finnish swedish stora enso cut staff 1 700 people production 500 000 tons
0,operating profit fell eur 6 2 mn eur 8 5 mn third quarter 2007
0,operating profit decreased nearly eur 1 7 mn however
0,30 november 2009 finnish office furniture maker martela oyj hel maras said today make redundant three people nine laid permanently company office staff factory workers
1,overall 50 percent respondents confident security banking online
1,operating profit nine month period increased eur3 1 net sales increased eur61 5 compared corresponding period 2007
1,upgrades include five megapixel camera voice control looks optical mouse instead pad upgrade click happy s60 needed forever
1,global banking news 28 september 2010 tieto corporation pohjola bank pink pojlf cooperate swift services
1,efore presence also opens new interesting development opportunities students dean faculty electronics communications automation tkk said
0,earnings per share loss eur0 24
1,altimo teliasonera said yesterday usmanov would welcome join new company
1,rautaruukki said construction group yit awarded 2 5 mln eur contract supply steel structures new bridge spanning kemijoki river northern finland
0,however orders received period review fell 17 quarter quarter eur 213 million recorded second quarter 2010
1,elisa said mobile subscriptions grew 7 percent 2007 mainly customers adopting called third generation mobile technology
1,apartment block well located easy reach city center close school kindergarten
1,soapstone deposits medvezhyegorsk area expected increase tulikivi current reserves considerably
0,diluted earnings per share eps fell eur 0 63 eur 1 71
1,operating profit rose eur 3 2 mn eur 1 0 mn corresponding period 2008
1,investments operational changes enable additional optimisation working hours thereby cost savings 7 9
0,finnish laboratory liquid handling diagnostic test systems developer biohit oyj omx helsinki biobv issued tuesday 3 june profit warning financial year 2008
0,implementation programs 0 impacts 2006 2007 earnings mr meiklejohn said
1,according olvi managing director lasse aho company ongoing mmx plus project aims find growth outside finland
1,skf 6 april 2010 alandsbanken given buy recommendation swedish industrial company skf ab sto skf b share price target sek150
1,part transaction real sappi also signed long term agreement supply pulp bctmp smaller services supplies
0,group sales period eur 37 5 million eur 48 2 million 1 9 2008 result taxes loss eur 3 5 1 2 million
0,finnish textiles clothing group marimekko oyj posted net profit 7 99 mln euro 10 4 mln 2006 compared 8 4 mln euro 10 9 mln 2005
1,finnish group anticipates sales gain eur42m tax expenses
1,upm kymmene upgraded line underperform goldman sachs
0,tinyurl link takes users scamming site promising users earn thousands dollars becoming google nasdaq goog cash advertiser
1,talvivaara secured 10 year take agreement 100 per cent main output nickel cobalt norilsk nickel entered long term zinc streaming agreement nyrstar nv
0,raute reported loss per share eur0 86 first half 2009 eps eur0 74 corresponding period 2008
0,diluted earnings per share eps declined eur 0 78 eur 1 76
1,finnish metal products company componenta oyj net profit rose 26 1 mln euro 35 9 mln first quarter 2007 5 3 mln euro 7 3 mln period 2006
1,nokia world largest mobile phone manufacturer china postel china largest mobile phone distributor long standing partnership continues grow stronger time
1,solutions used upgrading networks russian mso 37 different cities russia
1,operating profit excluding restructuring costs grew eur 44 5 million eur 31 7 million operating profit including restructuring costs showed even larger growth eur 38 5 million eur 7 4 million
0,alma media operating profit amounted eur 11 9 mn eur 15 0 mn year earlier
1,commission income rose 25 7 eur 16 1 mn eur 12 8 mn 2004
1,operating profit net sales 12 month period increased respectively eur21 5 eur196 1 compared 2005
1,company moved operating profit eur10 9 versus operating loss eur15 3 also turned eps eur0 08 versus loss per share eur0 04
1,acquisition supports strategy close customers around world offering equipment related services
1,technopolis europe leading operator technoparks
0,profit period fell eur 1 6 mn eur 7 5 mn january september 2008
1,sanoma magazines finland net sales grew eur 140 1 mn eur 131 8 mn
1,customer satisfied basware invoice automation solution extends implementation new geographies
1,stx finland oy signed preliminary agreement building environmentally friendly new generation cruise ferry viking line manage turku finland stockholm sweden withviking line abp
0,operating profit totaled eur 6 7 mn eur 7 2 mn corresponding period 2005
1,earnings per share eps seen eur 0 56 eur 0 38
1,shopping center prime location right next myllypuro metro station
1,14 29 cet monday shares bavarian nordic climbed 1 21 dkk250 stock exchange copenhagen lost 7 41 past month
0,tallink silja attributes significant drop problems booking system taken operation october sale trailer ferry sky wind route stockholm riga passengers helsinki stockholm route
1,merrill lynch analyst campbell morgan upgraded recommendation paperlinx 1 buy may
1,fourth quarter 2008 net sales increased 2 eur 1 050 7 mn eur 1 027 0 mn fourth quarter 2007
0,finnish suominen flexible packaging ltd owned local textile company suominen corporation group hel suy1v said today would start employee negotiations concerning entire personnel finland
1,stock price rose 70 0 ores 0 9 close sek77 65 ending two day streak losses
1,ragutis controlled finnish brewery reported 5 4 per cent rise beer sales 10 44 million litres held 11 09 per cent market share
1,however sales volumes food industry expected remain relatively good levels finland scandinavia atria said
1,long term contract global
0,adpnews dec 1 2009 finnish cutlery hand tools maker fiskars oyj abp hel fisas said today make redundant total 18 office management staff members subsidiary iittala group ltd
1,takeover cramo become second largest rental services provider latvian market
1,effect savings noticeable beginning 2010
0,viking line canceled services
1,according deputy md pekka silvennoinen aim double turnover next three years
1,expansion aims attract new customers finland abroad
1,arvo vuorenmaa loviisa plant general manager said application new licence standard procedure quite confident approval granted
1,second quarter 2010 firstquarter growth net sales since third quarter of2008 said magnus rosen ramirent ceo
0,earnings per share eps amounted eur1 37 eur2 30
1,progress group qpr representative saudi arabia north africa signed framework agreement long term strategic relationship ise
1,autumn plans expand service st petersburg moscow launch service yekaterinburg russia flying three times week
1,efficiency improvement measures 20 january 2010 finnish stationery gift retailer tiimari hel tii1v said today continue improve operational efficiency focusing profitable core operations
0,helsinki thomson financial shares cargotec fell sharply early afternoon trade cargo handling group posted surprise drop april june profits overshadowed large number new orders received three months
1,finnish dental care group oral hammaslaakarit oyj posted total net profit 849 000 euro 1 1 mln first nine months 2006 versus net loss 331 000 euro 421 000 period 2005
1,operating profit increased 145 1 eur 8 3 mn eur 3 4 mn
1,bring cost savings eur 3mn year
1,objective planned measures achieve significant savings next years
0,finnlines estimated annual general meeting 2008 financially tough year due large investments
1,acquisition immediate 2 impact aspocomp financial result
1,pre tax profit totaled eur 397 4 mn eur 164 7 mn
0,baltic countries development operations reorganisation continued non recurring items related takeover process lowered earnings
0,sales tiimari segment fell 4 0 year year eur3 3 june 2010
1,disposal autotank also strengthen aspo capital structure commented gustav nyberg ceo aspo
0,however company saw net profit third quarter eur 1 4 million eur 1 5 million corresponding period 2009
1,incap contract manufacturing services pvt ltd subsidiary incap corporation finland plans double revenues 2007 2008
0,adp news feb 4 2009 finnish broadband data communication systems solutions company teleste oyj hel tlt1v said today net profit decreased eur 5 5 million usd 7 2 2008 eur 9 4 million 200
1,operating profit totalled eur 83 0 mn eur 23 5 mn year year
1,alma media expects net sales increase forecast previously
1,consolidated net sales increased 16 reach eur74 8 operating profit amounted eur0 9 compared loss eur0 7 prior year period
1,company also said november 16 2006 real estate fund ky signed agreement finnish window maker fenestra oy build window plant forssa southern finland
1,helsinki afx kci konecranes said order four hot metal ladle cranes indian steel producer bhushan steel strips ltd
0,stora chief executive jouko karvinen described russian tariff hikes threat future forest products industry finland
1,nokia continue invest future development qt benefit users commercial lgpl
1,lithuania operating profit rose eur 190 000 eur 70 000 corresponding period 2005
1,narrows eur2 8 9 mo 09 29 october 2009 finnish software hardware developer elektrobit oyj hel ebg1v eb said today net loss narrowed eur2 8 first nine months 2009 eur35 6 period year ago
0,possible personnel reductions concern approximately 104 people
0,sales unit slumped last year industry hit poor snowfall major resorts winter 2006 07
1,finnish food industry companies hk ruokatalo atria form joint venture company called l nsi kalkkuna produce turkey meat
