label,text
1,ceo company tarmo noop said growth sale premium beers biggest
0,operating loss amounted eur 0 7 mn compared profit eur 0 8 mn second quarter 2005
0,current lay offs additional temporary lay offs agreed december 2008 may 2009
1,componenta increased stake turkish steel company doktas dokumculuk ticaret sanayi 92 6 pct stake march 2007
0,operating result excluding one items totaled eur 9 1 mn compared eur 10 6 mn continuing operations excluding one items 2004
1,group aims increase net sales comparable operating profit 2006
0,operating profit totaled eur 3 8 mn eur 4 5 mn corresponding period 2005
0,loss financial items totalled eur 9 7 mn compared profit eur 1 3 mn corresponding period 2008
0,operating profit excluding non recurring items totaled eur 5 4 mn compared eur 5 5 mn corresponding period 2007
1,staff recruited japan complement network close 50 service locations 20 countries worldwide
1,august october 2010 company result taxes totalled eur 9 6 mn eur 0 5 mn corresponding period 2009
1,last week finnish metals technology group announced plans sell 80 percent technology unit company strategic goal becoming world largest stainless steel maker
0,net sales fell 5 previous accounting period
1,net interest income eur 39 3 mn eur 32 7 mn
1,transaction strengthens position design branded goods said fiskars president ceo heikki allonen pointing two groups relatively overlapping operations
0,tietoenator 1 13 pct 18 38 extending recent lows last week second quarter report dealers said
0,helsinki afx kesko corp expected report lower second quarter eps today due tax charges earnings lines seen higher year year analysts said
1,tower chose add due go operation summer increase total capacity 80 broadsheet 160 tabloid pages ability run 32 48 page products side side
0,situation coated magazine printing paper continue weak
1,ntc geographical presence complements ramirent existing network brings us closer customers east bohemia region czechrepublic
1,warmly welcome michael frei outotec
1,ebit excluding non recurring items totalled eur 67 8 mn eur 38 1 mn
1,bank sees potential getinge share rise
1,savon koulutuskuntayhtyma finland based company awarded contract specialist agricultural forestry machinery
1,operating profit rose eur 3 11 mn eur 1 22 mn corresponding period 2009
1,finnish lifting equipment maker konecranes hel kcr1v said 29 july 2009 raised stake austrian manipulator maker acs konecranes 80 bought german sector player knight europe
0,estonian electronic components factory elcoteq running material closure air traffic
1,pleased receive nomination committee request confidence says jon risfelt
0,also cut price projections paper packaging analyst goldman sachs said note monday
1,according nordic financial group nordea analyst sami sarkamies makes nokia portfolio competitive
1,proud welcome another distribution facility north mississippi region known logistics center united states said gray swoope executive director mda
1,finnair able operate leisure flights despite strike
0,adp news feb 13 2009 finnish retailer kesko oyj hel kesbv said today total sales excluding value added tax vat stood eur 661 3 million usd 853 1 january 2009 15 2 year yea
1,purchase agreement 7 200 tons gasoline delivery hamina terminal finland signed neste oil oyj average platts index september plus eight us dollars per month
1,nokia multimedia net sales totaled eur 5 7 bn 45 corresponding period 2005
0,building home improvement trade sales decreased 22 5 eur 201 4 mn
